season,teams,lg_outs,lg_pitches,lg_totalBases
1988,26,113003,567469,53850
1989,26,113145,569174,53585
1990,26,112691,554120,55024
1991,26,113309,592117,54994
1992,26,113489,587223,53911
1993,28,121521,626523,62507
1994,28,85759,449443,46788
1995,28,108096,558816,57824
1996,28,121682,620302,66903
1997,28,121362,627335,65161
1998,30,130304,672934,70220
1999,30,129634,703666,72513
2000,30,129733,715471,73130
2001,30,129862,696606,70922
2002,30,129807,697401,68991
2003,30,130006,701721,70373
2004,30,130182,710069,71590
2005,30,129697,696338,69681
2006,30,129774,707703,72270
2007,30,130277,712103,70921
2008,30,130073,714122,69392
2009,30,129816,717035,69285
2010,30,129916,710381,66611
2011,30,130582,707822,66118
2012,30,130066,705315,66980
2013,30,130960,709911,65842
2014,30,130841,704974,63988
2015,30,130223,702301,66953
2016,30,129919,715821,69106
2017,30,129771,721244,70517
2018,30,130467,721190,67731
2019,30,130270,732473,72468
2020,30,46406,263584,24656
2021,30,127845,709852,66521
2022,30,129226,708540,64545
2023,30,129262,717945,68095
2024,30,129349,709511,65347
2025,30,129225,710084,66089
2026,30,73709,407877,37448
